,ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
64,64,retained,4.0,3.0,113.8187866,1830,233.0,0.0,9624.439528,3213.049582,6,0,Android
65,65,retained,12.0,12.0,478.4156826,1796,69.0,35.0,6931.284783,4643.478348,23,22,Android
66,66,retained,150.0,121.0,270.5629064,1347,0.0,0.0,1791.379149,253.7758791,30,26,iPhone
67,67,churned,36.0,29.0,50.08943164,1167,139.0,0.0,3215.221847,1594.991577,1,1,iPhone
68,68,retained,25.0,21.0,66.56667195,1619,147.0,11.0,3554.923388,2616.219443,19,18,iPhone
69,69,retained,36.0,30.0,132.3810261,2384,7.0,0.0,2485.994087,1197.510681,10,4,iPhone
70,70,churned,62.0,51.0,327.5779296,2285,381.0,0.0,5270.991501,2571.449828,16,16,Android
71,71,retained,243.0,200.0,248.3113428,2849,87.0,0.0,3377.481893,2032.029458,8,5,iPhone
72,72,retained,23.0,20.0,126.0890646,997,36.0,71.0,8054.086196,1506.312415,28,21,iPhone
73,73,retained,89.0,81.0,210.6642815,1189,0.0,68.0,5678.087584,1924.068701,29,22,iPhone
74,74,retained,142.0,113.0,324.7514369,3001,430.0,18.0,1966.355964,872.2037088,29,20,iPhone
75,75,retained,84.0,67.0,134.0383111,2868,177.0,55.0,2541.396988,1453.3281,22,21,iPhone
76,76,retained,30.0,28.0,73.91682979,1722,293.0,17.0,5574.224608,3842.845897,8,6,iPhone
78,78,retained,54.0,54.0,320.3440758,1285,0.0,77.0,2575.812329,987.0413442,29,20,Android
79,79,retained,97.0,84.0,209.2083212,1980,0.0,0.0,4471.194505,2104.72818,22,15,Android
81,81,churned,26.0,23.0,83.16688568,2118,335.0,0.0,944.2046415,455.0263064,2,0,Android
82,82,retained,16.0,16.0,40.74102349,484,373.0,61.0,3628.581195,2134.416647,9,9,iPhone
83,83,retained,22.0,17.0,130.7650795,199,75.0,28.0,4626.208693,1499.578879,29,24,Android
84,84,retained,18.0,18.0,446.7149825,1115,228.0,0.0,4798.273478,3831.848313,31,25,iPhone
85,85,retained,16.0,16.0,20.26166523,960,279.0,58.0,5044.128761,3437.228784,24,23,Android
86,86,retained,57.0,47.0,72.55234081,1260,230.0,65.0,3644.416203,1020.232449,5,4,Android
87,87,retained,18.0,18.0,197.7664549,1517,200.0,9.0,3771.957224,1639.140405,2,2,iPhone
88,88,retained,243.0,202.5,320.2575311,2252,60.0,0.0,3595.562658,2420.119875,28,20,Android
89,89,retained,35.0,28.0,71.61167794,1987,430.0,0.0,2422.61532,1156.60925,18,13,Android
90,90,retained,105.0,105.0,286.8490491,2826,168.0,0.0,2237.801562,1056.262155,4,0,iPhone
91,91,retained,117.0,94.0,156.839706,3479,286.0,17.0,1761.21432,310.7107283,28,26,iPhone
92,92,retained,106.0,86.0,203.3186425,846,318.0,0.0,3737.339752,1055.547009,9,3,iPhone
93,93,retained,52.0,46.0,58.27949387,613,223.0,107.5,4742.485842,3196.94492,20,20,iPhone
94,94,retained,17.0,14.0,279.9773294,3440,95.0,56.0,2674.811414,229.6819476,2,2,iPhone
95,95,churned,116.0,95.0,192.6382907,359,142.0,0.0,4032.868589,2695.612209,1,0,iPhone
96,96,churned,243.0,202.5,498.16452556,400,171.0,107.5,1896.894034,960.975077,19,13,Android
97,97,retained,0.0,0.0,498.16452556,2879,0.0,0.0,6668.84435,3511.370419,28,24,Android
99,99,retained,34.0,34.0,67.80586996,1403,27.0,24.0,6254.94844,3742.935943,1,1,iPhone
100,100,churned,122.0,99.0,295.5242311,2482,167.0,0.0,3396.139646,1841.313356,2,0,iPhone
101,101,retained,76.0,62.0,136.1968645,70,31.0,0.0,5700.894677,1041.768956,6,3,iPhone
102,102,retained,113.0,91.0,236.2949809,1031,34.0,65.0,2810.720839,1245.591383,0,0,iPhone
103,103,retained,78.0,63.0,121.4956353,2231,0.0,9.0,2427.257066,831.6080142,21,18,iPhone
104,104,churned,48.0,39.0,132.1688328,2279,194.0,0.0,2626.224474,1437.792565,24,24,Android
105,105,retained,37.0,30.0,53.99957919,710,2.0,30.0,5661.684796,2816.030953,26,20,Android
106,106,retained,139.0,112.0,321.7948003,2298,237.0,58.0,1243.198074,675.2571618,29,23,Android
107,107,retained,66.0,55.0,120.0854852,2515,0.0,0.0,2641.117738,2125.9414,16,14,iPhone
108,108,retained,29.0,23.0,56.53640154,677,309.0,0.0,5052.460683,868.0307127,7,5,iPhone
109,109,retained,38.0,38.0,77.18311377,2324,7.0,27.0,1702.406888,364.6328176,3,3,Android
110,110,retained,56.0,47.0,90.50690136,1714,0.0,0.0,1586.463423,733.9737947,15,13,Android
112,112,retained,54.0,45.0,116.6071611,3240,14.0,79.0,1762.324979,1006.688166,10,6,Android
113,113,retained,91.0,73.0,168.251515,3045,198.0,107.5,792.4761859,490.3170508,21,13,Android
114,114,retained,18.0,15.0,85.47546123,1305,25.0,10.0,2727.785623,513.498205,7,7,iPhone
115,115,retained,40.0,32.0,52.76008722,314,0.0,0.0,1724.225763,904.4785419,0,0,iPhone
116,116,retained,23.0,19.0,55.70118982,943,13.0,0.0,1234.079017,865.2079368,4,4,Android
117,117,retained,79.0,64.0,245.6239413,3016,0.0,92.0,4457.568347,1293.012432,25,20,Android
118,118,retained,42.0,34.0,174.1668226,1461,0.0,82.0,3478.887784,2343.429301,6,3,Android
119,119,retained,192.0,155.0,234.4007225,2503,205.0,40.0,9041.333182,4364.070565,28,26,Android
120,120,retained,16.0,14.0,403.4809775,1267,14.0,3.0,2585.059579,1690.346282,24,23,iPhone
121,121,churned,67.0,55.0,129.2595571,2922,310.0,15.0,2569.150563,1948.197506,11,7,iPhone
122,122,retained,150.0,122.0,269.0140577,546,0.0,38.0,6446.129773,2611.811183,16,10,iPhone
123,123,retained,31.0,25.0,130.3460437,3251,67.0,29.0,7712.174513,972.9860613,19,12,Android
124,124,churned,97.0,80.0,131.9129271,2929,37.0,0.0,4255.626774,866.8800721,12,9,Android
125,125,retained,16.0,15.0,157.9590826,343,53.0,44.0,1730.393075,455.4794569,25,16,Android
126,126,retained,148.0,118.0,167.2459681,2680,12.0,0.0,6206.237566,1879.524603,10,7,iPhone
127,127,retained,243.0,202.5,498.16452556,496,0.0,107.5,5781.057241,515.2152664,24,21,iPhone
128,128,retained,15.0,15.0,115.6572458,811,6.0,0.0,3090.907194,1572.509162,6,1,iPhone
129,129,retained,138.0,129.0,198.6097411,2053,62.0,39.0,2600.810383,1077.126474,26,23,iPhone
130,130,churned,39.0,32.0,176.5371809,190,430.0,33.0,4846.91837,2681.366806,4,4,Android
131,131,retained,25.0,25.0,498.16452556,2739,0.0,11.0,9923.95054075,205.8626513,19,17,Android
132,132,retained,7.0,6.0,65.07366594,3023,140.0,0.0,1378.65079,385.7186153,27,18,Android
133,133,retained,17.0,15.0,105.6192067,1748,44.0,13.0,2774.682089,681.2939989,5,2,Android
134,134,retained,33.0,27.0,256.7593388,3012,136.0,72.0,9522.433102,1175.241192,10,10,iPhone
135,135,retained,40.0,32.0,102.9483312,3323,154.0,101.0,3465.589796,1951.540263,14,13,iPhone
136,136,churned,89.0,82.0,91.52727513,2254,0.0,0.0,1772.191366,581.6487794,3,3,iPhone
137,137,retained,237.0,193.0,268.643805,1258,88.0,9.0,4478.18088,3120.903895,27,24,Android
138,138,retained,141.0,113.0,242.1291202,508,0.0,0.0,4136.026058,1841.184376,12,11,iPhone
139,139,retained,29.0,29.0,490.3315821,2551,120.0,73.0,6323.941583,3381.924229,15,15,Android
140,140,retained,175.0,140.0,245.7357075,2808,145.0,27.0,5732.235928,1978.80378,3,3,iPhone
141,141,retained,222.0,177.0,498.16452556,3021,71.0,95.0,2847.210995,1023.024294,29,24,iPhone
143,143,retained,45.0,37.0,124.6937427,3073,81.0,107.5,2422.060394,1466.9046,24,15,Android
144,144,retained,53.0,43.0,169.9292346,2389,0.0,24.0,5406.819727,3727.775268,17,17,iPhone
145,145,retained,49.0,40.0,421.6059953,3244,30.0,0.0,2810.309139,1608.434574,12,5,iPhone
146,146,retained,89.0,72.0,187.9245034,2507,43.0,28.0,854.3864466,619.1899061,25,22,iPhone
147,147,churned,231.0,186.0,268.4330673,2726,81.0,0.0,3162.956577,2625.667679,1,1,Android
148,148,retained,51.0,41.0,94.97103389,3202,180.0,0.0,1642.368888,1064.403306,23,21,iPhone
149,149,retained,40.0,32.0,142.4369117,81,172.0,0.0,3296.985485,678.2867502,25,16,Android
150,150,retained,33.0,30.0,66.8912126,1324,221.0,0.0,3991.841876,811.7367455,2,0,iPhone
151,151,churned,16.0,16.0,96.28488763,263,195.0,0.0,6457.34681,2797.664795,5,1,iPhone
152,152,retained,130.0,108.0,186.1927457,3116,243.0,107.5,9184.587914,4907.0501746,24,15,iPhone
153,153,retained,7.0,6.0,58.86116655,350,0.0,13.0,1838.430447,589.7720026,25,20,iPhone
154,154,retained,219.0,188.0,280.4192673,2306,0.0,77.0,3353.748203,839.8553132,13,7,Android
155,155,retained,243.0,202.5,498.16452556,720,20.0,0.0,2752.548464,511.8992854,10,8,Android
156,156,retained,14.0,13.0,62.99429299,843,35.0,7.0,1945.668314,1482.244178,24,22,Android
157,157,retained,161.0,129.0,498.16452556,672,0.0,31.0,4800.011104,3955.734301,15,14,iPhone
158,158,retained,97.0,78.0,423.9110606,1613,127.0,0.0,5035.613545,3271.766085,13,10,iPhone
159,159,retained,190.0,154.0,309.6783197,400,83.0,7.0,1789.478603,1418.241292,23,22,Android
160,160,retained,127.0,104.0,156.3539388,2184,0.0,48.0,9913.302189,2062.89733,25,25,iPhone
161,161,retained,41.0,33.0,167.2110599,2329,0.0,78.0,4795.348762,1610.18192,25,23,iPhone
163,163,retained,17.0,14.0,88.08790771,2992,123.0,53.0,2225.986252,1173.622402,22,15,Android
164,164,retained,43.0,43.0,171.9048024,1307,50.0,9.0,2683.155744,877.2887424,29,23,iPhone
165,165,retained,143.0,114.0,166.2799211,3095,111.0,15.0,4933.769533,2255.994717,11,6,iPhone
166,166,retained,140.0,113.0,185.1143893,2137,137.0,28.0,3294.554435,1909.513018,9,9,iPhone
167,167,churned,64.0,64.0,296.5899668,273,430.0,104.0,2196.549568,1414.4318,19,18,Android
168,168,retained,243.0,202.5,301.0848611,2476,0.0,44.0,3289.331979,974.2172746,29,26,Android
169,169,retained,218.0,175.0,309.0933633,1666,0.0,49.0,1433.805883,890.4583449,26,18,Android
170,170,retained,11.0,9.0,63.37880655,712,81.0,26.0,1624.454611,59.98446528,22,15,Android
171,171,retained,70.0,63.0,94.58117968,2774,59.0,0.0,3201.918054,1210.004022,30,20,iPhone
172,172,churned,123.0,99.0,152.5567286,2298,17.0,0.0,3082.671245,1191.406698,6,0,Android
173,173,churned,126.0,101.0,162.4519603,603,74.0,0.0,1392.044767,927.1696159,30,25,iPhone
174,174,retained,20.0,16.0,53.4550273,2463,411.0,89.0,3766.481688,1442.969873,21,21,Android
175,175,retained,55.0,55.0,81.58863034,3057,430.0,0.0,3729.175462,1894.837665,28,23,Android
177,177,retained,26.0,21.0,150.2961319,3217,163.0,17.0,1714.793605,1137.647657,13,10,Android
178,178,retained,12.0,12.0,14.72156617,3345,0.0,62.0,7170.180492,4907.0501746,5,5,iPhone
179,179,retained,12.0,11.0,125.4712179,961,256.0,31.0,1579.994416,1172.120431,30,25,iPhone
180,180,retained,95.0,77.0,205.0061797,3091,223.0,107.5,1330.165394,694.2273068,15,10,iPhone
181,181,retained,11.0,11.0,60.39582231,1265,160.0,66.0,6508.284915,2393.696833,18,16,iPhone
182,182,churned,158.0,127.0,483.2623817,1379,90.0,99.0,6359.668308,3871.44325,8,8,iPhone
183,183,retained,63.0,51.0,164.2653247,2060,0.0,0.0,2793.932988,2196.625007,24,22,iPhone
184,184,retained,181.0,147.0,343.9452249,3498,34.0,0.0,2847.316114,1463.121713,16,9,Android
185,185,churned,2.0,2.0,18.27780555,2252,21.0,0.0,4267.335798,1968.320404,7,2,iPhone
186,186,retained,42.0,34.0,185.6691488,189,71.0,0.0,3989.118427,2421.203373,30,27,iPhone
187,187,retained,47.0,47.0,57.56448616,3110,11.0,24.0,1358.495097,523.7240476,23,18,Android
188,188,retained,13.0,13.0,148.67747,1026,0.0,0.0,9677.771658,2910.908676,28,20,iPhone
189,189,retained,69.0,55.0,498.16452556,2127,295.0,44.0,2250.61469,573.5874281,9,6,iPhone
190,190,retained,91.0,73.0,98.65923505,1814,0.0,49.0,4142.799208,3194.839867,6,3,Android
191,191,churned,150.0,122.0,247.3249005,1070,187.0,0.0,6393.481743,4553.238421,6,6,iPhone
192,192,retained,71.0,61.0,107.0263131,26,49.0,107.5,3389.641001,2533.340808,26,17,Android
193,193,retained,49.0,40.0,177.9586432,3477,16.0,0.0,3304.917873,876.5817852,11,11,iPhone
194,194,churned,231.0,191.0,406.1782678,745,0.0,11.0,3527.611715,936.001503,28,18,iPhone
195,195,retained,80.0,64.0,94.32008442,1364,374.0,75.0,541.5097616,242.0482374,29,23,Android
196,196,retained,20.0,17.0,64.41973416,149,33.0,0.0,8844.035207,4499.867035,20,17,iPhone
197,197,retained,67.0,54.0,230.4582451,1256,41.0,64.0,5045.398456,2109.483123,12,8,iPhone
198,198,retained,16.0,13.0,186.9794651,3306,184.0,32.0,905.6810673,299.0163994,10,10,Android
200,200,churned,5.0,5.0,138.8705748,321,0.0,0.0,8809.226415,2667.907883,3,0,Android
201,201,churned,26.0,22.0,112.9586168,957,430.0,0.0,1611.446289,892.4956928,7,3,iPhone
202,202,retained,57.0,46.0,271.9233666,777,95.0,33.0,2804.191515,1976.310414,6,5,Android
203,203,retained,83.0,67.0,96.30479738,1532,125.0,0.0,2948.886919,993.8732641,6,6,Android
204,204,retained,192.0,175.0,221.6576984,2047,102.0,51.0,3166.429712,960.7904459,24,23,Android
205,205,retained,33.0,30.0,109.9488004,1364,0.0,0.0,3559.971515,2406.462487,14,12,iPhone
206,206,retained,26.0,22.0,137.1660111,82,430.0,28.0,2167.763491,1735.421979,6,6,Android
207,207,churned,40.0,32.0,145.0459423,3346,430.0,9.0,3074.663538,1895.630542,30,27,iPhone
208,208,retained,108.0,87.0,191.936044,110,0.0,20.0,6768.997378,1506.123087,28,26,iPhone
209,209,retained,147.0,147.0,231.6026323,3414,133.0,53.0,5110.800712,2591.209147,23,14,iPhone
210,210,churned,243.0,202.5,453.6394213,3362,0.0,0.0,1812.494756,665.2729911,9,8,Android
211,211,retained,28.0,23.0,66.27163423,780,61.0,0.0,2214.364804,998.3809116,27,22,iPhone
212,212,retained,118.0,98.0,262.4824485,1728,74.0,107.5,3780.784102,1561.377004,30,24,iPhone
213,213,retained,53.0,53.0,77.9959639,1208,175.0,0.0,1678.647111,1292.628032,21,14,iPhone
214,214,retained,58.0,51.0,181.5508049,707,1.0,0.0,2687.263718,274.4209506,12,5,Android
215,215,retained,32.0,28.0,130.4263098,2747,66.0,107.5,1134.727416,194.7750303,22,21,Android
216,216,retained,198.0,161.0,215.9992155,2806,86.0,0.0,5592.664287,3732.715173,21,15,iPhone
217,217,retained,0.0,0.0,33.71021032,629,160.0,0.0,6103.88167,1767.846528,8,2,iPhone
218,218,churned,24.0,19.0,119.5481767,1827,0.0,0.0,5161.398906,3521.634946,3,2,iPhone
219,219,retained,134.0,108.0,304.7897104,805,38.0,0.0,9674.81691,992.5048321,28,18,iPhone
220,220,retained,45.0,36.0,498.16452556,667,0.0,13.0,7906.134625,4617.912995,8,5,Android
221,221,retained,131.0,106.0,199.4857666,2208,0.0,0.0,1282.633982,319.3697841,11,11,iPhone
222,222,retained,130.0,104.0,164.3212072,853,133.0,0.0,2871.615782,1542.044342,10,10,iPhone
223,223,retained,14.0,12.0,227.863193,1757,34.0,0.0,4979.183869,1724.017094,28,19,iPhone
224,224,retained,185.0,149.0,311.2870759,3287,165.0,0.0,3810.497042,772.7007434,27,22,iPhone
225,225,retained,51.0,41.0,436.8746889,745,93.0,0.0,3685.383695,2801.633855,27,26,iPhone
226,226,retained,72.0,59.0,162.9841356,332,1.0,0.0,2375.993763,921.2046724,29,20,iPhone
227,227,retained,17.0,17.0,146.017828,1905,106.0,0.0,1675.366755,753.1189145,25,24,Android
228,228,retained,37.0,37.0,63.34400869,2057,0.0,14.0,1087.050057,781.0449242,14,14,iPhone
229,229,retained,7.0,6.0,176.803129,2951,73.0,56.0,7589.578721,4500.599272,13,11,iPhone
230,230,churned,15.0,12.0,111.2465431,1118,61.0,0.0,2368.45335,1260.738374,7,3,iPhone
231,231,retained,91.0,73.0,103.89582,3387,266.0,19.0,6995.447995,2721.061538,11,9,Android
232,232,churned,1.0,1.0,37.32263096,2041,46.0,107.5,6861.286668,4907.0501746,12,9,iPhone
233,233,retained,9.0,8.0,258.5981961,343,351.0,107.5,3091.281136,2512.662365,16,15,iPhone
234,234,retained,56.0,46.0,55.92225593,1918,25.0,9.0,5799.5886,905.8854373,3,3,iPhone
235,235,churned,16.0,13.0,178.3434574,2937,108.0,0.0,1242.125798,261.7615756,11,8,iPhone
236,236,retained,136.0,110.0,136.9216388,605,364.0,0.0,1342.593311,333.6268656,31,21,iPhone
237,237,retained,239.0,192.0,375.7182036,2616,13.0,0.0,6343.510823,4878.599543,7,7,iPhone
238,238,churned,17.0,13.0,209.924477,171,57.0,0.0,3006.377135,1539.70849,4,4,iPhone
239,239,retained,120.0,101.0,498.16452556,3014,237.0,0.0,2474.647978,1107.658252,12,8,Android
240,240,retained,9.0,9.0,94.15769837,1638,37.0,0.0,2280.396864,1175.622699,8,3,Android
241,241,retained,49.0,45.0,78.08356425,3178,14.0,19.0,3520.871967,2367.054714,3,3,iPhone
242,242,churned,51.0,42.0,67.71359618,1828,0.0,24.0,7160.138608,4289.050141,12,12,Android
243,243,churned,243.0,202.5,362.5371744,710,222.0,0.0,4007.933555,1589.505388,8,6,iPhone
244,244,retained,73.0,66.0,103.92497,1413,0.0,0.0,1755.794535,1311.463056,17,13,iPhone
245,245,retained,10.0,8.0,70.68795123,2266,43.0,31.0,889.0358983,256.717097,5,5,iPhone
246,246,retained,16.0,16.0,50.39101573,1987,157.0,0.0,1139.850735,374.755023,18,13,iPhone
247,247,retained,29.0,29.0,89.7006354,1998,293.0,86.0,8353.314432,4877.501795,17,15,iPhone
248,248,churned,48.0,39.0,109.4921618,1507,0.0,0.0,3331.523048,2717.400862,11,7,Android
249,249,retained,148.0,128.0,170.701183,1288,221.0,107.5,3489.964417,1430.914975,7,4,iPhone
250,250,retained,25.0,25.0,26.31739936,2036,0.0,0.0,7236.941229,3064.028566,26,24,iPhone
251,251,churned,94.0,75.0,102.201763,1718,0.0,98.0,5314.988573,1962.160205,3,3,Android
252,252,churned,103.0,84.0,117.408428,720,25.0,0.0,4455.222323,1422.367429,3,2,iPhone
253,253,retained,27.0,22.0,44.4100336,1551,65.0,107.5,5654.090998,1326.127806,10,10,iPhone
254,254,churned,48.0,39.0,65.39750604,1315,191.0,2.0,4637.017844,1602.177101,3,3,Android
255,255,retained,243.0,202.5,271.5999514,1696,1.0,48.0,5096.15163,944.7660679,0,0,iPhone
256,256,retained,138.0,111.0,221.4540961,872,97.0,77.0,2947.870739,317.2041291,18,14,iPhone
257,257,retained,229.0,198.0,276.9777577,2118,185.0,0.0,1234.394696,721.6809633,22,19,iPhone
258,258,retained,64.0,55.0,262.5392446,3384,146.0,0.0,2854.907544,1019.896054,29,22,iPhone
259,259,churned,231.0,186.0,239.0754338,2012,47.0,0.0,2903.102397,794.2154583,21,20,iPhone
260,260,retained,26.0,21.0,153.8244071,462,65.0,31.0,7527.039567,4070.402474,10,9,Android
261,261,retained,68.0,55.0,89.89817396,558,0.0,44.0,4157.857045,3232.403234,13,12,iPhone
262,262,retained,226.0,181.0,249.415761,2585,420.0,94.0,2649.779838,1705.587495,26,16,iPhone
263,263,retained,98.0,80.0,138.8966777,1502,188.0,9.0,2352.808479,1356.918348,21,13,iPhone
264,264,retained,19.0,17.0,108.3085782,489,84.0,0.0,6016.787107,3032.050167,15,11,iPhone
265,265,retained,45.0,36.0,77.74150106,520,5.0,29.0,4603.909263,1490.444254,27,19,Android
267,267,retained,31.0,27.0,199.1817354,2891,171.0,0.0,3255.874666,1919.401874,26,21,iPhone
268,268,retained,13.0,10.0,34.86172503,1179,0.0,99.0,1023.566551,337.7888487,31,29,iPhone
269,269,retained,32.0,27.0,100.6259772,311,198.0,39.0,4939.367292,3849.562763,11,10,Android
270,270,retained,21.0,17.0,172.2561926,901,376.0,45.0,1709.999766,703.4949047,24,22,iPhone
271,271,retained,52.0,52.0,127.2898283,1672,430.0,0.0,6134.963884,4409.821166,27,17,iPhone
272,272,retained,75.0,61.0,158.7614474,1990,48.0,55.0,3169.686605,1325.913355,10,10,iPhone
273,273,retained,57.0,45.0,298.4321171,2962,0.0,13.0,6933.874574,2058.162246,7,7,Android
274,274,retained,27.0,22.0,186.5927505,2125,411.0,23.0,1517.931358,469.7574809,22,16,Android
